"sim_id" "eir" "access" "season" "seed" "model" "age" "nTreatments1" "nHost" "nPatent" "nUncomp" "nSevere" "expectedDirectDeaths" "expectedSevere" "expectedIndirectDeaths" "age_prev" "prevalence_2to10"
"e01a44z1s06m0000GPSG" 0.25 0.44 1 6 "0000GPSG" 3.5 331 4010.16666666667 344 533 24 1.387576 24.57367 0.9302913 0.00714849756867961 0.00900875448643556
"e01a44z1s06m0000GPSG" 0.25 0.44 1 6 "0000GPSG" 7.5 676 6246.41666666667 815 1072 43 3.3895603 47.74328 0.8895767 0.0108729004629321 0.00900875448643556
"e01a44z1s06m0000GPSG" 0.25 0.44 1 6 "0000GPSG" 12.5 799 5682.33333333333 999 1285 36 4.863001 42.16305 0.5933119 0.014650671672435 0.00900875448643556
"e01a44z1s06m0000GPSG" 0.25 0.44 1 6 "0000GPSG" 17.5 855 5119.08333333333 1296 1437 35 5.744873 37.27525 0.4512905 0.0210975272265542 0.00900875448643556
"e01a44z1s06m0000GPSG" 0.25 0.44 1 6 "0000GPSG" 60 4376 24838.6666666667 9530 8247 112 17.54091 108.22294 1.266371 0.0319729990874443 0.00900875448643556
"e01a44z1s07m0000GA" 0.25 0.44 1 7 "0000GA" 0.25 15 1346.91666666667 51 38 2 0.268122 1.6508508 0.32845997 0.0031553548227433 0.0101685297702482
"e01a44z1s07m0000GA" 0.25 0.44 1 7 "0000GA" 0.75 32 767.083333333333 67 76 2 0.215637 3.204484 0.4999074 0.00727865290602933 0.0101685297702482
"e01a44z1s07m0000GA" 0.25 0.44 1 7 "0000GA" 1.5 59 1390.66666666667 97 108 6 0.6023398 3.628477 0.4374327 0.00581255992329818 0.0101685297702482
"e01a44z1s07m0000GA" 0.25 0.44 1 7 "0000GA" 3.5 259 4016.83333333333 364 449 10 0.7897849 10.636732 0.7533702 0.00755155387743247 0.0101685297702482
"e01a44z1s07m0000GA" 0.25 0.44 1 7 "0000GA" 7.5 495 6262.41666666667 963 991 32 3.171231 20.78595 0.8247754 0.012814541777003 0.0101685297702482
"e01a44z1s07m0000GA" 0.25 0.44 1 7 "0000GA" 12.5 646 5695.58333333333 1122 1163 20 3.429474 21.2639 0.5542104 0.0164162289493321 0.0101685297702482
